PLAYER,MINUTES PLAYED,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,CARRIES,METRES KICKED,BALL PLAYED BY HAND,PASSES MADE,OFFLOADS,BROKEN TACKLES,KNOCK ONS,TACKLES MADE,MISSED TACKLES,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,TURNOVERS CONCEDED,HANDLING ERRORS,PENS CONCEDED,OFFSIDE PENALTIES,SCRUM PENALTIES,LINEOUTS WON,LINEOUTS STOLEN,YELLOW CARDS,RED CARD
Niccolo Cannone,310,0,0,0,0,0,98,28,0,38,10,0,1,1,48,5,4,0,2,3,1,4,1,0,7,0,0,0
Michele Lamaro,340,0,0,0,0,0,113,32,0,70,42,4,1,0,49,8,2,0,0,0,3,2,1,0,3,0,0,0
Edoardo Iachizzi,90,0,0,0,0,0,98,15,0,19,4,0,2,0,13,2,1,1,0,1,1,2,0,0,2,0,0,0
Alessandro Fusco,111,1,0,0,0,0,93,12,106,117,105,0,8,1,13,6,2,0,0,5,6,1,0,0,0,0,0,0
Paolo Garbisi,232,0,1,2,3,0,118,21,576,124,103,1,2,0,21,3,0,0,0,3,6,0,0,0,1,0,0,0
Marco Riccioni,172,1,0,0,0,0,34,8,0,15,7,0,3,1,32,3,2,1,1,1,2,4,0,4,0,0,1,0
Giovanni Pettinelli,49,0,0,0,0,0,52,6,0,8,2,0,2,2,8,0,0,0,0,3,2,0,0,0,3,0,0,0
Juan Ignacio,400,1,0,0,0,0,359,56,80,134,79,1,5,2,30,9,1,0,1,6,8,4,3,0,0,0,0,0
Federico Zani,98,0,0,0,0,0,25,7,0,9,2,0,0,0,13,0,1,0,0,0,0,2,0,2,0,0,0,0
Lorenzo Cannone,313,1,0,0,0,0,308,41,0,53,15,3,11,1,55,3,5,1,1,2,2,5,0,0,3,0,2,0
Stephen Varney,259,1,1,0,0,0,73,19,571,277,260,3,4,1,10,9,2,0,1,5,9,2,2,0,0,0,0,0
Tommaso Menoncello,297,0,0,0,0,0,224,23,96,42,21,2,7,3,28,4,1,0,1,5,3,0,0,0,0,0,0,0
