PLAYER,TRIES,TRY ASSISTS,CONVERSIONS,PENALTY GOALS,DROP GOALS,METRES MADE,BROKEN TACKLES,TACKLES MADE,DOMINANT TACKLES,TURNOVERS WON,TURNOVERS WON IN THE TACKLE,LINEOUTS STOLEN,YELLOW CARDS,RED CARD,TOTAL,MINUTES PLAYED,POINTS PER MINUTE
Sam Johnson,15.0,0.0,0.0,0.0,0.0,15.8,14.0,28.0,0.0,0.0,0.0,0.0,-0.0,-0.0,72.8,196,0.37142857142857144
Cian Healy,15.0,0.0,0.0,0.0,0.0,4.800000000000001,7.0,13.0,0.0,0.0,7.0,0.0,-0.0,-0.0,46.8,127,0.368503937007874
Maxime Lucu,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,7.0,7.0,0.0,0.0,0.0,0.0,-0.0,-0.0,14.6,40,0.365
Grant Gilchrist,0.0,0.0,0.0,0.0,0.0,19.400000000000002,7.0,53.0,21.0,14.0,7.0,7.0,-0.0,-0.0,128.4,352,0.3647727272727273
Gareth Thomas,0.0,0.0,0.0,0.0,0.0,23.8,0.0,32.0,7.0,7.0,0.0,0.0,-0.0,-0.0,69.8,192,0.36354166666666665
Julien Marchand,0.0,7.0,0.0,0.0,0.0,26.8,21.0,20.0,0.0,21.0,0.0,0.0,-0.0,-0.0,95.8,268,0.3574626865671642
Juan Ignacio Brex,0.0,0.0,0.0,0.0,0.0,42.0,35.0,57.0,0.0,0.0,7.0,0.0,-0.0,-0.0,141.0,395,0.3569620253164557
Courtney Lawes,0.0,0.0,0.0,0.0,0.0,18.6,14.0,39.0,14.0,0.0,0.0,0.0,-0.0,-0.0,85.6,240,0.35666666666666663
Harry Randall,0.0,0.0,0.0,0.0,0.0,19.0,35.0,10.0,0.0,0.0,0.0,0.0,-0.0,-0.0,64.0,182,0.3516483516483517
Giacomo Nicotera,0.0,0.0,0.0,0.0,0.0,8.4,0.0,21.0,0.0,7.0,0.0,0.0,-0.0,-0.0,36.4,104,0.35
Thibaud Flament,0.0,0.0,0.0,0.0,0.0,6.6000000000000005,0.0,20.0,0.0,0.0,0.0,0.0,-0.0,-0.0,26.6,77,0.34545454545454546
George Furbank,0.0,0.0,0.0,0.0,0.0,17.2,7.0,2.0,0.0,0.0,0.0,0.0,-0.0,-0.0,26.2,76,0.3447368421052632
Jamie Hodgson,0.0,0.0,0.0,0.0,0.0,1.8,0.0,6.0,0.0,0.0,0.0,0.0,-0.0,-0.0,7.8,23,0.3391304347826087
Zander Fagerson,0.0,0.0,0.0,0.0,0.0,21.6,21.0,36.0,7.0,0.0,0.0,0.0,-0.0,-0.0,85.6,256,0.334375
Alun Wyn Jones,0.0,0.0,0.0,0.0,0.0,5.0,7.0,8.0,0.0,0.0,0.0,0.0,-0.0,-0.0,20.0,60,0.3333333333333333
Thomas Ramos,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,6.0,18,0.3333333333333333
